City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,5.4112,82.33,77.95,20,5.01,MY,1690153429
1,mirto,38.0847,38.0847,84.31,83.26,1,7.52,IT,1690153460
2,adamstown,-25.066,-25.066,68.77,68.77,22,17.11,PN,1690153461
3,avarua,-21.2078,-21.2078,80.65,80.65,75,12.66,CK,1690153461
4,edinburgh of the seven seas,-37.0676,-37.0676,56.19,56.19,58,24.23,SH,1690153282
5,utrik,11.2278,11.2278,83.17,83.17,69,18.81,MH,1690153462
6,katsuura,35.1333,35.1333,79.03,79.03,43,2.48,JP,1690153462
7,spring creek,40.7266,40.7266,94.82,91.29,95,13.47,US,1690153463
8,sinabang,2.4803,2.4803,78.57,78.57,93,2.17,ID,1690153463
9,huarmey,-10.0681,-10.0681,69.82,69.82,0,9.8,PE,1690153464
10,kenai,60.5544,60.5544,64.49,57.09,0,12.66,US,1690153464
11,badger,64.8,64.8,84.11,81.14,0,5.75,US,1690153464
12,terra santa,-2.1042,-2.1042,83.16,83.16,30,3.87,BR,1690153465
13,nova sintra,14.8667,14.8667,73.36,73.36,95,9.82,CV,1690153465
14,chibougamau,49.9168,49.9168,78.42,78.42,0,4.43,CA,1690153326
15,longyearbyen,78.2186,78.2186,51.64,51.64,40,13.8,SJ,1690153299
16,arak,34.0917,34.0917,76.98,76.98,40,5.03,IR,1690153466
17,san patricio,28.017,28.017,98.69,88.83,42,16.04,US,1690153466
18,hawaiian paradise park,19.5933,19.5933,82.72,76.78,75,11.5,US,1690153467
19,sao vicente,-23.9631,-23.9631,78.98,70.99,1,4.29,BR,1690153380
20,igdir,39.9237,39.9237,82.33,81.59,0,11.5,TR,1690153467
21,qaqortoq,60.7167,60.7167,50.36,50.36,50,2.21,GL,1690153468
22,aasiaat,68.7098,68.7098,38.61,38.61,100,1.1,GL,1690153468
23,waitangi,-43.9535,-43.9535,55.81,55.81,98,7.0,NZ,1690153468
24,petropavlovsk-kamchatsky,53.0452,53.0452,66.79,66.79,20,11.18,RU,1690153469
25,roma,43.2128,43.2128,82.81,79.09,0,8.05,US,1690153275
26,tazovsky,67.4667,67.4667,59.02,59.02,90,4.41,RU,1690153469
27,al bawiti,28.3492,28.3492,85.28,85.28,0,9.1,EG,1690153470
28,malango,-2.9627,-2.9627,66.04,66.04,86,1.14,ID,1690153470
29,menongue,-14.6585,-14.6585,57.2,57.2,42,4.61,AO,1690153470
30,ushuaia,-54.8,-54.8,35.26,35.26,75,17.27,AR,1690153471
31,siddipet,18.1,18.1,73.42,73.42,100,15.57,IN,1690153257
32,kristiansund,63.1115,63.1115,55.45,54.25,84,13.8,NO,1690153472
33,beterou,9.1992,9.1992,72.64,72.64,56,4.32,BJ,1690153472
34,san luis de la loma,17.2706,17.2706,88.83,88.83,22,5.82,MX,1690153472
35,inarajan village,13.2736,13.2736,85.39,81.0,100,12.82,GU,1690153227
36,college,64.8569,64.8569,84.07,81.81,0,1.01,US,1690153201
37,whitehorse,60.7161,60.7161,73.09,70.02,100,5.75,CA,1690153473
38,port-aux-francais,-49.35,-49.35,42.22,42.22,80,34.36,TF,1690153474
39,zarghun shahr,32.8473,32.8473,70.14,70.14,68,0.25,AF,1690153474
40,margaret river,-33.95,-33.95,49.5,49.5,0,11.45,AU,1690153474
41,yichun,47.7,47.7,64.94,64.94,100,3.74,CN,1690153475
42,guane,22.2025,22.2025,88.5,88.5,31,6.64,CU,1690153287
43,shenkursk,62.1091,62.1091,51.78,51.78,62,6.53,RU,1690153476
44,hamilton,39.1834,39.1834,81.39,73.06,53,2.91,US,1690153271
45,tongouson,5.0214,5.0214,83.12,83.12,100,12.75,PH,1690153476
46,kapuskasing,49.4169,49.4169,68.09,68.0,75,5.75,CA,1690153239
47,sola,-13.8833,-13.8833,77.7,77.7,100,21.45,VU,1690153279
48,talnakh,69.4865,69.4865,52.21,52.21,15,1.05,RU,1690153477
49,kingston,17.997,17.997,90.25,85.21,20,24.16,JM,1690153227
50,ta`u,-14.2336,-14.2336,79.92,79.92,32,14.14,AS,1690153308
